id,name,description,terms,image_url,expiration
1284,Crystal Light Liquid,"3-pack of 1.62 fl oz. bottles
Offer only redeemable at Sam's Club","Offer valid on Crystal Light Liquid in 3-pack of 1.62 fl oz. bottles

Offer only redeemable at Sam's Club.",http://s3.amazonaws.com/ibotta-product/offer/Fs9JO4bjT5Kakh920d4WEw-large.png,2016-04-03 06:59:00 UTC
1287,Crystal Light,"Any variety -  32 quart package
Offer only redeemable at Sam's Club","Offer valid on Crystal Light, for any variety, in 32 quart package

Offer only redeemable at Sam's Club.",http://s3.amazonaws.com/ibotta-product/offer/D7lbegjPt6uQPT_TKnVkdA-large.png,2016-04-03 06:59:00 UTC
1350,Country Time® Lemonade,"Any variety - 67 oz. canister or larger
Offer only redeemable at Sam's Club","Offer valid on Country Time® Lemonade, for any variety, in 67 oz. canister or larger

Offer only redeemable at Sam's Club.",http://s3.amazonaws.com/ibotta-product/offer/BvYuICcVeXxACkehtYl_uA-large.png,2016-04-03 06:59:00 UTC
1517,Bhakti Chai,"Ready-To-Drink 16 oz. Bottle - Iced Chai
Original * Semi-Sweet * Decaf * Coffee-Blend","Offer valid on Bhakti Ready-To-Drink Chai, For any variety, in 16 oz. bottle

Offer only redeemable at Whole Foods.",http://product-images.ibotta.com/offer/eJ3W0yT9RY5de1j_Tn3L2Q-large.png,2016-04-03 06:59:00 UTC
1579,Good Food Made Simple,"Breakfast Burritos - Any variety - 1 ct.
Offer only redeemable at Target","Offer valid on Good Food Made Simple Breakfast Burritos for any variety, in 1 ct.

Offer only redeemable at Target.",http://s3.amazonaws.com/ibotta-product/offer/DaXjybA--LnzSFoq6_eRkg-large.png,2016-02-14 06:59:00 UTC
1580,Good Food Made Simple,"Oatmeal - Any variety - 2 ct. box
Offer only redeemable at Target","Offer valid on Good Food Made Simple Oatmeal for any variety, in 2 ct. box

Offer only redeemable at Target.",http://s3.amazonaws.com/ibotta-product/offer/ufMywE29Ss_BpouONNn-JQ-large.png,2016-02-14 06:59:00 UTC
1587,Fruttare® Frozen Fruit Bars,"Any Variety - 4 ct. or larger
Offer only redeemable at Target","Offer valid on Fruttare® Frozen Fruit Bars for any variety, 4 ct or larger box.

Offer only redeemable at Target.",http://s3.amazonaws.com/ibotta-product/offer/4LJQ-ucFW0PTe_f8gMaLEg-large.png,2016-02-07 06:59:00 UTC
1662,DeLallo® Whole Wheat Organic Pasta,"Any variety - Any size
Offer only redeemable at Whole Foods and Sprouts","Offer valid on DeLallo® Whole Wheat Organic Pasta for any variety, in any size.

Offer only redeemable at Whole Foods and Sprouts.",http://s3.amazonaws.com/ibotta-product/offer/jWJgbxqyHJveQ-bJNqDDnw-large.png,2016-04-03 06:59:00 UTC
1668,Little Duck Organics,"Mighty Oats - Any variety
Offer only redeemable at Whole Foods and Babies""R""Us","Offer valid on Little Duck Organics Mighty Oats for any variety.

Offer only redeemable at Whole Foods and Babies""R""Us.",http://s3.amazonaws.com/ibotta-product/offer/x-8qQ6KdkEB-dJfe08Q7rw-large.png,2016-03-25 06:59:00 UTC
1674,Enjoy Life®,Mountain Mambo Seed & Fruit Mix variety only,Offer valid on Enjoy Life® Mountain Mambo Seed & Fruit Mix variety only. Offer excludes Enjoy Life® Beach Bash Seed & Fruit Mix variety and any Grab & Go Packs.,http://s3.amazonaws.com/ibotta-product/offer/5cdJiTJasOrEjIKnfElt5w-large.png,2016-03-27 06:59:00 UTC
1675,Enjoy Life® Plentils,"Any variety - 4 oz. bag only
Offer only redeemable at Target","Offer valid on Enjoy Life® Plentils for any variety, in 4oz. bag only.  Offer excludes Enjoy Life® Grab & Go Packs.

Offer only redeemable at Target.",http://s3.amazonaws.com/ibotta-product/offer/vNmpIEhE54uWvHy7keUbTw-large.png,2016-03-27 06:59:00 UTC
1677,Enjoy Life® Soft Baked Cookies,Any variety - 6 oz. box,Offer valid on Enjoy Life® Soft Baked Cookies for any variety.  Offer excludes Enjoy Life® Crunchy Cookies.,http://s3.amazonaws.com/ibotta-product/offer/NwS_hbMv0prqAraK_zK-Vw-large.png,2016-03-27 06:59:00 UTC
1724,Philips Sonicare,HX3631 PowerUp Battery Toothbrush Starter Kit - Orange or Blue Handle,"Offer valid on Philips Sonicare HX3631 PowerUp Battery Toothbrush Starter Kit, in Orange or Blue Handle only.",http://s3.amazonaws.com/ibotta-product/offer/pK7gsMOTKPJ2d7tfP-SAHQ-large.png,2016-02-21 06:59:00 UTC
1820,Healthy Choice® Baked Entrees,"Any variety - Any size
Offer only redeemable at Target","Offer valid on Healthy Choice® Baked Entrees for any variety, in any size. Offer excludes any other variety of Healthy Choice® frozen meals.

Offer only redeemable at Target.",http://s3.amazonaws.com/ibotta-product/offer/cj_yZo-7-5y6SxprUceQQA-large.png,2016-03-07 06:59:00 UTC
1821,Healthy Choice® 100% Natural Café Steamers,"Any variety - Any size
Offer only redeemable at Target","Offer valid on Healthy Choice® 100% Natural Café Steamers for any variety, in any size. Offer excludes any other variety of Healthy Choice® frozen meals.

Offer only redeemable at Target.",http://s3.amazonaws.com/ibotta-product/offer/9Cy70KDQ85x6TspJ0pVtcw-large.png,2016-03-07 06:59:00 UTC
1895,Little Duck Organics,Tiny Fruits - Any variety,Offer valid on Little Duck Organics Tiny Fruits for any variety.,http://s3.amazonaws.com/ibotta-product/offer/-JAwDs62iJbDvYDb5ZITiw-large.png,2016-03-25 06:59:00 UTC
1920,Organic Peace Cereal®,"Any Organic Variety - 11 oz. or Larger
Offer only redeemable at Whole Foods","Offer valid on Organic Peace Cereal®  for any organic variety, in any 11 oz. or larger.

Offer only redeemable at Whole Foods.",http://s3.amazonaws.com/ibotta-product/offer/oq3cCAbBocK52uwaWPiv8g-large.png,2016-04-03 06:59:00 UTC
1925,Willamette Valley Granola brand                             Granola Chips,Any variety - 6.2 oz. or Larger,"Offer valid on Willamette Valley Granola brand Granola Chips for any variety, in any 6.2 oz. or larger.",http://s3.amazonaws.com/ibotta-product/offer/pgu8Do4h9Ix5ZupyU-ss5w-large.png,2016-04-03 06:59:00 UTC
1932,PediaSure®,"Any variety - Any 6 ct. pack or larger
See Product Detail for more information","Offer valid on PediaSure®  for any variety, in any 6 ct. pack or larger.

Consult your health care professional for use with children under 2 years of age.",http://s3.amazonaws.com/ibotta-product/offer/jS-nS7rnXrvYfFwU9KjWcA-large.png,2016-03-07 06:59:00 UTC
1955,Willamette Valley Granola brand                             Granola Chips,Any variety - 6.2 oz. or Larger,"Offer valid on Willamette Valley Granola brand Granola Chips for any variety, in any 6.2 oz. or larger.",http://s3.amazonaws.com/ibotta-product/offer/pgu8Do4h9Ix5ZupyU-ss5w-large.png,2016-04-03 06:59:00 UTC
2015,Campbell's® Dinner Sauces,"Slow Cooker and Skillet Sauces - Any size.
Offer only redeemable at Walmart","Offer valid on Campbell's® Slow Cooker and Skillet Sauces, in any size.
Find them in the pasta aisle!

Offer only redeemable at Walmart.",http://s3.amazonaws.com/ibotta-product/offer/RD4dRgwTxu7SdHAARFjgpw-large.png,2016-02-21 06:59:00 UTC
2061,JUST CHILL®,"Relaxation Drink
Any variety - Any 12 oz. can","Offer valid on JUST CHILL® Relaxation Drink for any variety, in any 12 oz. can.

Offer only redeemable at Vons.",http://s3.amazonaws.com/ibotta-product/offer/iKDE_ET_8EZ44FiGzn326A-large.png,2016-02-21 06:59:00 UTC
2064,Ian's® Fish Sticks,"Any variety – Family Packs only
Offer only redeemable at Whole Foods","Offer valid on Ian's® Fish Sticks for any variety, in Family Packs only.

Offer only redeemable at Whole Foods.",http://s3.amazonaws.com/ibotta-product/offer/5Mt1F9NFfwImRkAl85qZfQ-large.png,2016-02-18 06:59:00 UTC
2065,Ian's® All Natural Breaded Organic Chicken Nuggets,"Any variety – Family Packs only
Offer only redeemable at Whole Foods","Offer valid on Ian's® All Natural Breaded Organic Chicken Nuggets for any variety, in Family Packs only. Excludes Ian’s® Non-Organic Breaded Chicken Nuggets.

Offer only redeemable at Whole Foods.",http://s3.amazonaws.com/ibotta-product/offer/UhFrPN9gxbSaQN9nR7cnJw-large.png,2016-02-18 06:59:00 UTC
2085,JUST CHILL®,"Relaxation Drink
Any variety - Any 12 oz. can","Offer valid on JUST CHILL® Relaxation Drink for any variety, in any 12 oz. can.

Offer only redeemable at Pavillions.",http://s3.amazonaws.com/ibotta-product/offer/oYaMHcOE-gLG81A0lgtZlA-large.png,2016-02-21 06:59:00 UTC
2094,RUNA® Tea Bottles,"Any variety - Any 14 oz. bottle
Offer only redeemable at Wegmans","Offer valid on RUNA® Tea Bottles for any variety, in any 14 oz. bottle.

Offer only redeemable at Wegmans.",http://s3.amazonaws.com/ibotta-product/offer/5nlC1GhIPnwgJAHBfqH7BQ-large.png,2016-03-25 06:59:00 UTC
2170,Bhakti Chai,"Ready-To-Drink 16 oz. Bottle - Iced Chai
Original * Semi-Sweet * Decaf * Coffee-Blend","Offer valid on Bhakti Ready-To-Drink Chai, For any variety, in 16 oz. bottle. Offer only redeemable at King Soopers.",http://product-images.ibotta.com/offer/eJ3W0yT9RY5de1j_Tn3L2Q-large.png,2016-04-03 06:59:00 UTC
2185,Pyrex® Glassware Products,Any variety - Any size,"Offer valid on Pyrex® products for any variety, in any size.",http://s3.amazonaws.com/ibotta-product/offer/Jg6zmt7mPHlcKXCYyvKGHw-large.png,2016-02-13 06:59:00 UTC
2204,DRY® Soda,"Any flavor - Any 12 oz. can
Offer only redeemable at Kroger","Offer valid on DRY® Soda for any flavor, in any 12 oz. can. Offer only redeemable at Kroger.",http://s3.amazonaws.com/ibotta-product/offer/MNRXg62xRJDiF29PT3Q-iQ-large.png,2016-04-03 06:59:00 UTC
2212,DRY® Soda,"Any flavor - Any 12 oz. can
Offer only redeemable at Fred Meyer","Offer valid on DRY® Soda for any flavor, in any 12 oz. can. Offer only redeemable at Fred Meyer.",http://s3.amazonaws.com/ibotta-product/offer/MNRXg62xRJDiF29PT3Q-iQ-large.png,2016-04-03 06:59:00 UTC
2213,DRY® Soda,"Any flavor - Any 12 oz. can
Offer only redeemable at QFC","Offer valid on DRY® Soda for any flavor, in any 12 oz. can. Offer only redeemable at QFC.",http://s3.amazonaws.com/ibotta-product/offer/MNRXg62xRJDiF29PT3Q-iQ-large.png,2016-04-03 06:59:00 UTC
2214,DRY® Soda,"Any flavor - Any 12 oz. can
Offer only redeemable at Smith's","Offer valid on DRY® Soda for any flavor, in any 12 oz. can. Offer only redeemable at Smith's.",http://s3.amazonaws.com/ibotta-product/offer/MNRXg62xRJDiF29PT3Q-iQ-large.png,2016-04-03 06:59:00 UTC
2215,DRY® Soda,"Any flavor - Any 12 oz. can
Offer only redeemable at Fry's","Offer valid on DRY® Soda for any flavor, in any 12 oz. can. Offer only redeemable at Fry's.",http://s3.amazonaws.com/ibotta-product/offer/MNRXg62xRJDiF29PT3Q-iQ-large.png,2016-04-03 06:59:00 UTC
2216,DRY® Soda,"Any flavor - Any 12 oz. can
Offer only redeemable at King Soopers","Offer valid on DRY® Soda for any flavor, in any 12 oz. can. Offer only redeemable at King Soopers.",http://s3.amazonaws.com/ibotta-product/offer/MNRXg62xRJDiF29PT3Q-iQ-large.png,2016-04-03 06:59:00 UTC
2218,DRY® Soda,"Any flavor - Any 12 oz. can
Offer only redeemable at Dillons","Offer valid on DRY® Soda for any flavor, in any 12 oz. can. Offer only redeemable at Dillons.",http://s3.amazonaws.com/ibotta-product/offer/MNRXg62xRJDiF29PT3Q-iQ-large.png,2016-04-03 06:59:00 UTC
2353,Ridley's Private Label Bread,"Any variety - 10 oz. or larger
Offer only redeemable at Ridley's Family Markets","Offer valid on Ridley's Private Label Bread for any variety, 10 oz. or larger.
Offer only redeemable at Ridley's Family Markets.",http://s3.amazonaws.com/ibotta-product/offer/Fy1_scs3JZ6Ip_DbjyQh9A-large.png,2016-02-20 06:59:00 UTC
2354,Ridley's Famous Fresh Fried Chicken,"8 piece basket
Offer only redeemable at Ridley's Family Markets","Offer valid on Ridley's Famous Fresh Fried Chicken, in 8 piece basket.
Ridley's Family Markets.",http://s3.amazonaws.com/ibotta-product/offer/qarfhw9GjaiPY51efQ6cxA-large.png,2016-02-20 06:59:00 UTC
2368,Corelle® Dinnerware Set,Any variety - 16 piece set,"Offer valid on Corelle® Dinnerware Set for any variety, in 16 piece set",http://s3.amazonaws.com/ibotta-product/offer/3W5QuGzFWZq6e07FwHtdPA-large.png,2016-02-07 06:59:00 UTC
2369,"Corelle®
Plate or Bowl",Any single product - Any size,"Offer valid on Corelle® Plate or Bowl for any single product, in any size.",http://s3.amazonaws.com/ibotta-product/offer/Lun_Z6zV4EXMLf_WDP8aJA-large.png,2016-02-07 06:59:00 UTC
2378,JC's Pie Pops,Any variety - 2 ct. box,"Offer valid on JC's Pie Pops for any variety, in 2 ct. box",http://s3.amazonaws.com/ibotta-product/offer/mEquLBIVn_EsygEzhvcvAA-large.png,2016-03-21 06:59:00 UTC
2419,"Nature Valley®
Breakfast Biscuits","Honey or Blueberry varieties - 5 ct box
Offer only redeemable at Food Lion","Offer valid on Nature Valley® Breakfast Biscuits for Honey or Blueberry, in 5 ct box only.",http://s3.amazonaws.com/ibotta-product/offer/dVY_fI4thCmJhBGH5xy-Cw-large.png,2016-02-12 05:59:00 UTC
2420,"Betty Crocker®
Despicable Me Fruit Snacks","8 oz box only
Offer only redeemable at Food Lion","Offer valid on Betty Crocker® Despicable Me Fruit Snacks, in 8 oz box only.
Offer only redeemable at Food Lion.
Despicable Me and related characters are trademarks and copyrights of Universal Studios. Licensed by Universal Studios Licensing LLC. All Rights Reserved. www.despcicableme.com",http://s3.amazonaws.com/ibotta-product/offer/HvZVNjggkMl9TENffto2fQ-large.png,2016-02-12 05:59:00 UTC
2421,"Fruit by the Foot®
Flavor Mixers","6 ct. box
Offer only redeemable at Food Lion","Offer valid on Fruit by the Foot® Flavor Mixers, in 6 ct box only.
Offer only redeemable at Food Lion.",http://s3.amazonaws.com/ibotta-product/offer/DuaX25U9GMir3X_RkDpDQg-large.png,2016-02-12 05:59:00 UTC
2422,Chocolate Toast Crunch™,"12.3 oz box
Offer only redeemable at Food Lion","Offer valid on Chocolate Toast Crunch™, in 12.3 oz box
Offer only redeemable at Food Lion",http://s3.amazonaws.com/ibotta-product/offer/WqrQbH3DPMRwkmnJoCl3UQ-large.png,2016-02-12 05:59:00 UTC
2423,Fiber One® Protein Cereal,"Protein variety only - 12.4 oz. box
Offer only redeemable at Food Lion","Offer valid on Fiber One® Protein Cereal, in 12.4 oz box only.
Offer only redeemable at Food Lion.",http://s3.amazonaws.com/ibotta-product/offer/FYmf1-jiyZEyVeWvPbES9w-large.png,2016-02-12 05:59:00 UTC
